AWS_AccountID,AWS_Region,AWS_Partition,AWS_Service,AWS_ResourceType,AWS_ResourceID,AWS_ResourceARN,AWS_Tags
211203495394,eu-west-1,aws,ec2,customer-gateway,cgw-05f9bccb160cc6a3f,arn:aws:ec2:eu-west-1:211203495394:customer-gateway/cgw-05f9bccb160cc6a3f,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-vpc'}, {'Key': 'Example', 'Value': 'ex-vpc'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-vpc-IP1'}]"
211203495394,eu-west-1,aws,ec2,customer-gateway,cgw-0b90f043647e1a456,arn:aws:ec2:eu-west-1:211203495394:customer-gateway/cgw-0b90f043647e1a456,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-vpc'}, {'Key': 'Example', 'Value': 'ex-vpc'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-vpc-IP2'}]"
211203495394,eu-west-1,aws,ec2,internet-gateway,igw-0be1e0dd61a7f9869,arn:aws:ec2:eu-west-1:211203495394:internet-gateway/igw-0be1e0dd61a7f9869,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds'}]"
211203495394,eu-west-1,aws,ec2,network-acl,acl-0c5dde0e33c59a110,arn:aws:ec2:eu-west-1:211203495394:network-acl/acl-0c5dde0e33c59a110,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-default'}]"
211203495394,eu-west-1,aws,ec2,route-table,rtb-00ae2ac0d6d823c4a,arn:aws:ec2:eu-west-1:211203495394:route-table/rtb-00ae2ac0d6d823c4a,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-private-eu-west-1b'}]"
211203495394,eu-west-1,aws,ec2,route-table,rtb-03b6c35322fc78bc8,arn:aws:ec2:eu-west-1:211203495394:route-table/rtb-03b6c35322fc78bc8,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-private-eu-west-1c'}]"
211203495394,eu-west-1,aws,ec2,route-table,rtb-04b00dc5078c3aa7d,arn:aws:ec2:eu-west-1:211203495394:route-table/rtb-04b00dc5078c3aa7d,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-public'}]"
211203495394,eu-west-1,aws,ec2,route-table,rtb-08132640869ecefcf,arn:aws:ec2:eu-west-1:211203495394:route-table/rtb-08132640869ecefcf,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-default'}]"
211203495394,eu-west-1,aws,ec2,route-table,rtb-0f835a2142b1c7372,arn:aws:ec2:eu-west-1:211203495394:route-table/rtb-0f835a2142b1c7372,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-private-eu-west-1a'}]"
211203495394,eu-west-1,aws,ec2,security-group,sg-0c42b41b3d3f8d7c6,arn:aws:ec2:eu-west-1:211203495394:security-group/sg-0c42b41b3d3f8d7c6,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-default'}]"
